6 qid:4 1:0.9526 2:0.8206 3:0.7505 4:0.9547
28 qid:4 1:0.8863 2:0.7783 3:1.0000 4:1.0000
32 qid:4 1:0.9506 2:0.8173 3:0.8374 4:0.9869
29 qid:4 1:0.9529 2:0.8159 3:0.9066 4:0.9940
37 qid:5 1:0.8848 2:0.8993 3:0.9979 4:0.9962
39 qid:5 1:0.8730 2:0.7764 3:0.5851 4:0.9796
31 qid:5 1:0.8575 2:0.7880 3:0.7344 4:0.9696
47 qid:5 1:0.8495 2:0.7952 3:0.8581 4:0.9722
3 qid:5 1:0.7856 2:0.7368 3:0.5037 4:0.9382
43 qid:5 1:0.8421 2:0.8088 3:0.9543 4:0.9870
41 qid:5 1:0.8591 2:0.7836 3:0.6331 4:0.9790
11 qid:5 1:0.8079 2:0.8440 3:0.7313 4:0.9193
37 qid:6 1:0.9321 2:0.9263 3:1.0000 4:1.0000
34 qid:6 1:0.9520 2:0.8271 3:0.6785 4:0.9776
32 qid:6 1:0.9446 2:0.8449 3:0.7255 4:0.9693
2 qid:6 1:0.9051 2:0.8263 3:0.5286 4:0.9333
35 qid:6 1:0.9465 2:0.8321 3:0.7486 4:0.9715
38 qid:6 1:0.9032 2:0.8850 3:0.9235 4:0.9899
51 qid:6 1:0.9397 2:0.8220 3:0.6422 4:0.9591
23 qid:6 1:0.9289 2:0.8308 3:0.6589 4:0.9565
48 qid:7 1:0.8343 2:0.8973 3:0.6461 4:0.9005
47 qid:7 1:0.8417 2:0.7835 3:0.4929 4:0.8573
43 qid:7 1:0.8144 2:0.7934 3:0.5542 4:0.8561
4 qid:7 1:0.7743 2:0.7994 3:0.5686 4:0.8788
34 qid:7 1:0.7826 2:0.7702 3:0.5077 4:0.7993
32 qid:7 1:0.6080 2:0.7660 3:0.6034 4:0.8922
17 qid:7 1:0.8043 2:0.7522 3:0.4529 4:0.9252
27 qid:7 1:0.7829 2:0.7883 3:0.5183 4:0.8364
44 qid:8 1:0.9380 2:0.9244 3:1.0000 4:1.0000
29 qid:8 1:0.9594 2:0.8385 3:0.8383 4:0.9797
24 qid:8 1:0.9625 2:0.8479 3:0.8172 4:0.9737
17 qid:8 1:0.9423 2:0.8543 3:0.8041 4:0.9597
14 qid:8 1:0.9497 2:0.8280 3:0.7484 4:0.9566
46 qid:8 1:0.9448 2:0.8844 3:0.9490 4:0.9911
39 qid:8 1:0.9596 2:0.8442 3:0.8607 4:0.9810
39 qid:8 1:0.9650 2:0.8540 3:0.8677 4:0.9828
48 qid:9 1:0.9394 2:0.9047 3:0.6709 4:0.9553
28 qid:9 1:0.9502 2:0.8522 3:0.7173 4:0.9559
22 qid:9 1:0.9292 2:0.8630 3:0.8518 4:0.9805
32 qid:9 1:0.8810 2:0.8914 3:0.7799 4:0.9744
12 qid:9 1:0.9409 2:0.8356 3:0.7505 4:0.9498
23 qid:9 1:0.8729 2:0.8590 3:0.7842 4:0.9628
40 qid:9 1:0.9564 2:0.8580 3:0.5560 4:0.9257
47 qid:9 1:0.9453 2:0.8778 3:0.8161 4:0.9744
46 qid:10 1:0.9352 2:0.8942 3:0.9249 4:0.9559
49 qid:10 1:0.9419 2:0.8379 3:0.7075 4:0.9854
46 qid:10 1:0.9491 2:0.8570 3:0.8004 4:0.9590
2 qid:10 1:0.8941 2:0.8224 3:0.5652 4:0.9175
20 qid:10 1:0.9444 2:0.8363 3:0.7502 4:0.9690
39 qid:10 1:0.8731 2:0.8732 3:0.9988 4:0.9988
36 qid:10 1:0.9385 2:0.8251 3:0.6282 4:0.9626
14 qid:10 1:0.9234 2:0.8271 3:0.6690 4:0.9444
52 qid:11 1:0.8982 2:0.8911 3:0.9950 4:1.0000
34 qid:11 1:0.8353 2:0.7489 3:0.3661 4:0.9946
26 qid:11 1:0.8825 2:0.8140 3:0.7193 4:0.9897
44 qid:11 1:0.8643 2:0.8120 3:0.8684 4:0.9909
6 qid:11 1:0.7817 2:0.7476 3:0.5029 4:0.9602
40 qid:11 1:0.8841 2:0.8791 3:0.9475 4:0.9905
40 qid:11 1:0.8385 2:0.7507 3:0.4292 4:0.9964
10 qid:11 1:0.8221 2:0.8475 3:0.4013 4:0.8394
46 qid:12 1:0.9342 2:0.9037 3:0.9364 4:0.9809
46 qid:12 1:0.9550 2:0.8279 3:0.7521 4:0.9593
29 qid:12 1:0.9483 2:0.8350 3:0.7570 4:0.9521
8 qid:12 1:0.9197 2:0.8287 3:0.7790 4:0.9461
39 qid:12 1:0.9535 2:0.8256 3:0.7507 4:0.9500
51 qid:12 1:0.9196 2:0.8825 3:0.9528 4:0.9948
12 qid:12 1:0.9291 2:0.8185 3:0.6908 4:0.9701
21 qid:12 1:0.9431 2:0.8277 3:0.7769 4:0.9248
47 qid:13 1:0.9340 2:0.9035 3:0.9997 4:0.9995
49 qid:13 1:0.9605 2:0.8176 3:0.6526 4:0.9938
48 qid:13 1:0.9634 2:0.8492 3:0.8237 4:0.9712
9 qid:13 1:0.9300 2:0.8275 3:0.7453 4:0.9462
27 qid:13 1:0.9522 2:0.8098 3:0.7507 4:0.9597
3 qid:13 1:0.9157 2:0.8808 3:0.8869 4:0.9752
41 qid:13 1:0.9518 2:0.8085 3:0.5942 4:0.9973
28 qid:13 1:0.9453 2:0.8193 3:0.7757 4:0.9612
49 qid:14 1:0.9535 2:0.8902 3:0.9580 4:0.9577
42 qid:14 1:0.9618 2:0.8461 3:0.8359 4:0.9724
37 qid:14 1:0.9583 2:0.8562 3:0.8824 4:0.9608
34 qid:14 1:0.9316 2:0.8567 3:0.9418 4:0.9535
11 qid:14 1:0.9501 2:0.8245 3:0.7513 4:0.9639
44 qid:14 1:0.9499 2:0.8862 3:0.9560 4:0.9556
25 qid:14 1:0.9463 2:0.8462 3:0.8573 4:0.9656
10 qid:14 1:0.9368 2:0.8522 3:0.9129 4:0.9675
53 qid:15 1:0.9313 2:0.9001 3:0.9046 4:0.8382
52 qid:15 1:0.9385 2:0.8500 3:0.8269 4:0.8476
50 qid:15 1:0.9457 2:0.8623 3:0.8347 4:0.8517
4 qid:15 1:0.9112 2:0.8713 3:0.7838 4:0.8328
31 qid:15 1:0.9285 2:0.8278 3:0.7509 4:0.8428
17 qid:15 1:0.8410 2:0.9056 3:0.6872 4:0.8252
13 qid:15 1:0.9150 2:0.8451 3:0.7798 4:0.8422
32 qid:15 1:0.9242 2:0.8685 3:0.8417 4:0.8173
45 qid:16 1:0.8659 2:0.8969 3:1.0000 4:1.0000
45 qid:16 1:0.8393 2:0.7967 3:0.5789 4:0.9475
52 qid:16 1:0.8327 2:0.8270 3:0.8500 4:0.9639
37 qid:16 1:0.7840 2:0.7838 3:0.7630 4:0.9463
6 qid:16 1:0.7663 2:0.7828 3:0.5165 4:0.8177
17 qid:16 1:0.7839 2:0.8877 3:1.0000 4:0.9974
28 qid:16 1:0.8362 2:0.7905 3:0.5088 4:0.9348
22 qid:16 1:0.8231 2:0.8069 3:0.6817 4:0.9141
43 qid:17 1:0.9504 2:0.8929 3:0.8142 4:0.8877
54 qid:17 1:0.9511 2:0.8417 3:0.7248 4:0.9030
43 qid:17 1:0.9520 2:0.8549 3:0.7740 4:0.9260
4 qid:17 1:0.9164 2:0.8504 3:0.7517 4:0.9151
35 qid:17 1:0.9473 2:0.8384 3:0.7502 4:0.9050
31 qid:17 1:0.9205 2:0.8857 3:0.7598 4:0.8854
20 qid:17 1:0.9392 2:0.8386 3:0.7280 4:0.8926
22 qid:17 1:0.9405 2:0.8449 3:0.7475 4:0.9026
50 qid:18 1:0.8364 2:0.8908 3:0.6113 4:0.7974
42 qid:18 1:0.8067 2:0.7736 3:0.5119 4:0.8495
52 qid:18 1:0.8233 2:0.7851 3:0.5677 4:0.8556
8 qid:18 1:0.7399 2:0.7666 3:0.5424 4:0.7776
46 qid:18 1:0.7692 2:0.7586 3:0.5007 4:0.8467
22 qid:18 1:0.7759 2:0.8458 3:0.4763 4:0.7744
13 qid:18 1:0.7777 2:0.7607 3:0.4508 4:0.8166
19 qid:18 1:0.7327 2:0.7767 3:0.5306 4:0.8259
51 qid:19 1:0.8250 2:0.9122 3:0.7792 4:0.8868
41 qid:19 1:0.8210 2:0.7917 3:0.5962 4:0.8063
54 qid:19 1:0.8487 2:0.8399 3:0.7486 4:0.8614
5 qid:19 1:0.7834 2:0.8135 3:0.6870 4:0.8239
29 qid:19 1:0.7734 2:0.7569 3:0.4989 4:0.6762
41 qid:19 1:0.8044 2:0.8894 3:0.7972 4:0.7543
25 qid:19 1:0.7899 2:0.8034 3:0.7284 4:0.8252
6 qid:19 1:0.8020 2:0.8075 3:0.5858 4:0.7898
38 qid:20 1:0.9350 2:0.8980 3:0.8383 4:0.9032
27 qid:20 1:0.9633 2:0.8392 3:0.7268 4:0.9312
32 qid:20 1:0.9584 2:0.8454 3:0.7839 4:0.9175
24 qid:20 1:0.9574 2:0.8511 3:0.8021 4:0.9178
37 qid:20 1:0.9494 2:0.8370 3:0.7504 4:0.9187
44 qid:20 1:0.9590 2:0.8680 3:0.7985 4:0.9146
7 qid:20 1:0.9554 2:0.8373 3:0.6881 4:0.9330
43 qid:20 1:0.9569 2:0.8510 3:0.7872 4:0.9148
55 qid:21 1:0.9287 2:0.9006 3:0.9998 4:0.9979
41 qid:21 1:0.9582 2:0.8409 3:0.7819 4:0.9488
45 qid:21 1:0.9470 2:0.8598 3:0.8739 4:0.9651
12 qid:21 1:0.9212 2:0.8591 3:0.7076 4:0.8886
33 qid:21 1:0.9507 2:0.8394 3:0.7482 4:0.9082
23 qid:21 1:0.9293 2:0.8880 3:0.7434 4:0.9254
23 qid:21 1:0.9416 2:0.8356 3:0.7309 4:0.9123
20 qid:21 1:0.9369 2:0.8441 3:0.7157 4:0.8921
24 qid:22 1:0.9131 2:0.9054 3:0.5674 4:0.8636
49 qid:22 1:0.9573 2:0.8451 3:0.7338 4:0.9730
33 qid:22 1:0.9548 2:0.8460 3:0.7902 4:0.9686
30 qid:22 1:0.9264 2:0.8313 3:0.9497 4:0.9813
32 qid:22 1:0.9509 2:0.8423 3:0.7515 4:0.9650
12 qid:22 1:0.9167 2:0.8584 3:0.4552 4:0.8293
42 qid:22 1:0.9575 2:0.8439 3:0.6322 4:0.9617
30 qid:22 1:0.9477 2:0.8748 3:0.4903 4:0.8368
14 qid:23 1:0.9197 2:0.9185 3:0.9098 4:0.9377
31 qid:23 1:0.9415 2:0.8459 3:0.7668 4:0.9669
37 qid:23 1:0.9445 2:0.8577 3:0.8740 4:0.9639
55 qid:23 1:0.9305 2:0.8702 3:0.9741 4:0.9814
22 qid:23 1:0.9339 2:0.8363 3:0.7572 4:0.9250
33 qid:23 1:0.8563 2:0.8647 3:0.9938 4:0.9470
18 qid:23 1:0.9416 2:0.8420 3:0.7368 4:0.9680
42 qid:23 1:0.9357 2:0.8546 3:0.8948 4:0.9688
49 qid:24 1:0.8451 2:0.8957 3:0.9979 4:0.9210
42 qid:24 1:0.8330 2:0.7979 3:0.4815 4:0.9148
29 qid:24 1:0.8228 2:0.8182 3:0.5980 4:0.8878
41 qid:24 1:0.8244 2:0.8572 3:0.8688 4:0.9012
14 qid:24 1:0.7783 2:0.7928 3:0.4973 4:0.8572
35 qid:24 1:0.8108 2:0.8706 3:0.9991 4:0.9732
17 qid:24 1:0.8058 2:0.7686 3:0.4406 4:0.9314
25 qid:24 1:0.8491 2:0.8526 3:0.8447 4:0.9088
41 qid:25 1:0.9463 2:0.8939 3:1.0000 4:1.0000
36 qid:25 1:0.9610 2:0.8431 3:0.7852 4:0.9841
29 qid:25 1:0.9507 2:0.8551 3:0.8216 4:0.9813
19 qid:25 1:0.9304 2:0.8677 3:0.8635 4:0.9697
27 qid:25 1:0.9480 2:0.8301 3:0.7519 4:0.9744
40 qid:25 1:0.9584 2:0.8633 3:0.8733 4:0.9904
29 qid:25 1:0.9528 2:0.8413 3:0.7597 4:0.9806
31 qid:25 1:0.9536 2:0.8528 3:0.8277 4:0.9814
